File, Precision, Recall, F1 Score
001.mid, 0.4251497005988024, 0.5358490566037736, 0.4741235392320534
002.mid, 0.3663716814159292, 0.49227110582639716, 0.4200913242009133
004.mid, 0.6342668863261944, 0.6844444444444444, 0.6584010260795211
003.mid, 0.5328467153284672, 0.5855614973262032, 0.5579617834394905
005.mid, 0.43251859723698194, 0.49634146341463414, 0.46223736513344693
006.mid, 0.34660925726587727, 0.4938650306748466, 0.40733712839974695
007.mid, 0.3538306451612903, 0.4957627118644068, 0.41294117647058826
008.mid, 0.361353711790393, 0.4610027855153203, 0.405140758873929
009.mid, 0.3265582655826558, 0.4303571428571429, 0.3713405238828968
011.mid, 0.4612159329140461, 0.6162464985994398, 0.5275779376498801
010.mid, 0.35703703703703704, 0.5391498881431768, 0.4295900178253119
012.mid, 0.41390205371248023, 0.6121495327102804, 0.49387370405278036
013.mid, 0.4099173553719008, 0.6500655307994757, 0.5027876330461227
014.mid, 0.3752362948960302, 0.41139896373056994, 0.3924864063272368
015.mid, 0.5647263249348393, 0.7190265486725663, 0.632603406326034
016.mid, 0.37151037938439513, 0.4178743961352657, 0.3933308071239106
018.mid, 0.38289601554907676, 0.48462484624846247, 0.4277958740499457
017.mid, 0.3433874709976798, 0.5532710280373832, 0.4237652111667859
019.mid, 0.3407917383820998, 0.44948921679909193, 0.38766519823788537
021.mid, 0.45614035087719296, 0.5732814526588845, 0.5080459770114942
020.mid, 0.3527004909983633, 0.47155361050328226, 0.40355805243445686
022.mid, 0.3427856547122602, 0.4713302752293578, 0.3969097054563013
023.mid, 0.44611528822055135, 0.5533678756476684, 0.4939870490286772
024.mid, 0.4812775330396476, 0.5757575757575758, 0.5242951409718056
025.mid, 0.3728813559322034, 0.5595716198125836, 0.4475374732334047
026.mid, 0.31567567567567567, 0.45625, 0.37316293929712463
027.mid, 0.4028006589785832, 0.5849282296650717, 0.47707317073170735
028.mid, 0.6463742166517458, 0.8013318534961155, 0.7155599603567889
029.mid, 0.3424336973478939, 0.5116550116550117, 0.4102803738317757
030.mid, 0.2946793997271487, 0.39926062846580407, 0.3390894819466248
031.mid, 0.5462962962962963, 0.9094412331406551, 0.6825741142443963
032.mid, 0.3069466882067851, 0.46454767726161367, 0.3696498054474708
033.mid, 0.4437434279705573, 0.8629856850715747, 0.5861111111111111
034.mid, 0.43333333333333335, 0.6905005107252298, 0.5324931075226468
036.mid, 0.31019522776572667, 0.4973913043478261, 0.38209752839011357
035.mid, 0.4171270718232044, 0.5790987535953979, 0.48494580489763145
037.mid, 0.3769100169779287, 0.40808823529411764, 0.39187996469549863
038.mid, 0.42829076620825146, 0.540272614622057, 0.4778082191780822
039.mid, 0.38767650834403083, 0.615071283095723, 0.4755905511811024
040.mid, 0.3095577746077033, 0.4149139579349904, 0.3545751633986928
041.mid, 0.3135198135198135, 0.5056390977443609, 0.3870503597122302
042.mid, 0.36287799791449427, 0.5362095531587057, 0.43283582089552236
