File, Precision, Recall, F1 Score
001.mid, 0.8747763864042933, 0.9226415094339623, 0.8980716253443526
002.mid, 0.741901776384535, 0.8442330558858502, 0.7897664071190211
004.mid, 0.8390325271059216, 0.8942222222222223, 0.865748709122203
003.mid, 0.776930409914204, 0.7263814616755794, 0.7508060801473975
005.mid, 0.888095238095238, 0.9097560975609756, 0.8987951807228916
006.mid, 0.7732793522267206, 0.8788343558282209, 0.8226848528356067
007.mid, 0.7746144721233689, 0.922316384180791, 0.8420373952288847
008.mid, 0.7727272727272727, 0.7576601671309192, 0.7651195499296766
009.mid, 0.789049919484702, 0.875, 0.8298052497883149
011.mid, 0.8689384010484927, 0.9285714285714286, 0.8977657413676371
010.mid, 0.6919014084507042, 0.8791946308724832, 0.7743842364532019
012.mid, 0.7169459962756052, 0.8995327102803738, 0.7979274611398964
013.mid, 0.38882421420256114, 0.43774574049803405, 0.41183723797780525
014.mid, 0.8288934426229508, 0.8383419689119171, 0.833590932509016
015.mid, 0.7165605095541401, 0.7466814159292036, 0.7313109425785482
016.mid, 0.8593996840442338, 0.8760064412238325, 0.8676236044657097
018.mid, 0.7753058954393771, 0.8573185731857319, 0.8142523364485982
017.mid, 0.8021806853582555, 0.9626168224299065, 0.875106202209006
021.mid, 0.8040973111395646, 0.814526588845655, 0.8092783505154638
020.mid, 0.8158168574401665, 0.8577680525164114, 0.8362666666666667
024.mid, 0.8293539325842697, 0.7779973649538867, 0.8028552005438477
025.mid, 0.7545871559633027, 0.8808567603748326, 0.8128474366893144
027.mid, 0.7949260042283298, 0.8995215311004785, 0.8439955106621774
030.mid, 0.7666666666666667, 0.9353049907578558, 0.84263114071607
031.mid, 0.8952042628774423, 0.9710982658959537, 0.9316081330868763
032.mid, 0.7708333333333334, 0.9046454767726161, 0.8323959505061866
033.mid, 0.7041800643086816, 0.8957055214723927, 0.7884788478847885
034.mid, 0.2637913741223671, 0.2686414708886619, 0.2661943319838057
036.mid, 0.8015384615384615, 0.9060869565217391, 0.8506122448979592
037.mid, 0.1710758377425044, 0.17830882352941177, 0.17461746174617462
038.mid, 0.7579365079365079, 0.7100371747211895, 0.7332053742802304
039.mid, 0.733102253032929, 0.8615071283095723, 0.7921348314606742
040.mid, 0.7983050847457627, 0.9005736137667304, 0.8463611859838274
041.mid, 0.7194029850746269, 0.9060150375939849, 0.8019966722129784
042.mid, 0.7948016415868673, 0.8952234206471494, 0.8420289855072464
043.mid, 0.012727272727272728, 0.012867647058823529, 0.01279707495429616
044.mid, 0.8312958435207825, 0.8732876712328768, 0.8517745302713988
045.mid, 0.8183934807916181, 0.7934537246049661, 0.8057306590257879
046.mid, 0.8271604938271605, 0.9234303215926493, 0.8726483357452967
047.mid, 0.7907188353048226, 0.7217607973421927, 0.7546678245766392
049.mid, 0.07520891364902507, 0.08011869436201781, 0.07758620689655173
048.mid, 0.05935696619950536, 0.06321334503950835, 0.06122448979591837
050.mid, 0.8502879078694817, 0.9022403258655805, 0.875494071146245
051.mid, 0.20119521912350596, 0.16378378378378378, 0.1805721096543504
052.mid, 0.836340206185567, 0.8641810918774967, 0.8500327439423707
053.mid, 0.0782608695652174, 0.09022556390977443, 0.08381839348079163
054.mid, 0.8, 0.8987654320987655, 0.8465116279069768
055.mid, 0.04316546762589928, 0.04983388704318937, 0.04626060138781805
056.mid, 0.7405559515324305, 0.7311752287121746, 0.7358356940509914
057.mid, 0.8406040268456376, 0.9417293233082706, 0.8882978723404255
058.mid, 0.7965665236051502, 0.8940269749518305, 0.8424875170222424
059.mid, 0.7916666666666666, 0.7906371911573472, 0.7911515940143136
060.mid, 0.8642659279778393, 0.9043478260869565, 0.8838526912181303
061.mid, 0.8241758241758241, 0.8913412563667232, 0.8564437194127242
062.mid, 0.8159203980099502, 0.859538784067086, 0.8371618172537009
063.mid, 0.8, 0.919093851132686, 0.855421686746988
064.mid, 0.6308724832214765, 0.8901515151515151, 0.7384131971720346
065.mid, 0.7177142857142857, 0.7353629976580797, 0.7264314632735686
067.mid, 0.8429319371727748, 0.9044943820224719, 0.8726287262872628
066.mid, 0.820577164366374, 0.6957446808510638, 0.7530224525043177
068.mid, 0.7556142668428005, 0.8171428571428572, 0.785175017158545
069.mid, 0.8502994011976048, 0.8785769528228925, 0.8642069227843286
070.mid, 0.7003058103975535, 0.9561586638830898, 0.8084730803177405
072.mid, 0.8273809523809523, 0.8373493975903614, 0.8323353293413173
073.mid, 0.8159588159588159, 0.8781163434903048, 0.8458972648432287
075.mid, 0.721183800623053, 0.9241516966067864, 0.8101487314085739
074.mid, 0.75, 0.871578947368421, 0.8062317429406037
077.mid, 0.7699859747545582, 0.7933526011560693, 0.7814946619217082
078.mid, 0.66, 0.7542857142857143, 0.7040000000000001
079.mid, 0.027868852459016394, 0.03288201160541586, 0.030168589174800357
080.mid, 0.5737704918032787, 0.8641975308641975, 0.6896551724137931
081.mid, 0.8151815181518152, 0.8805704099821747, 0.8466152527849187
082.mid, 0.06239737274220033, 0.07770961145194274, 0.0692167577413479
083.mid, 0.7197640117994101, 0.856140350877193, 0.782051282051282
084.mid, 0.823404255319149, 0.8173178458289335, 0.8203497615262321
085.mid, 0.8296296296296296, 0.8682170542635659, 0.8484848484848484
086.mid, 0.7844827586206896, 0.931740614334471, 0.8517940717628705
087.mid, 0.12805755395683452, 0.15532286212914484, 0.14037854889589904
088.mid, 0.7129629629629629, 0.7760358342665173, 0.7431635388739947
089.mid, 0.8052373158756138, 0.9196261682242991, 0.8586387434554974
091.mid, 0.6997319034852547, 0.8714524207011686, 0.7762081784386617
090.mid, 0.8446428571428571, 0.9148936170212766, 0.8783658310120706
092.mid, 0.01866251944012442, 0.02158273381294964, 0.020016680567139285
093.mid, 0.8134715025906736, 0.9235294117647059, 0.8650137741046832
094.mid, 0.6947723440134908, 0.8207171314741036, 0.7525114155251142
096.mid, 0.8461538461538461, 0.9375, 0.8894878706199459
095.mid, 0.7915129151291513, 0.7633451957295374, 0.7771739130434783
098.mid, 0.8645096056622852, 0.9018987341772152, 0.8828084667010841
099.mid, 0.8436944937833037, 0.8347978910369068, 0.8392226148409894
100.mid, 0.7659574468085106, 0.9361702127659575, 0.8425531914893617
101.mid, 0.12121212121212122, 0.1297539149888143, 0.1253376553214479
102.mid, 0.8029556650246306, 0.859402460456942, 0.8302207130730052
105.mid, 0.7719594594594594, 0.9195171026156942, 0.8393021120293847
106.mid, 0.7380952380952381, 0.8611111111111112, 0.7948717948717949
