File, Precision, Recall, F1 Score
081.mid, 0.8250428816466552, 0.857397504456328, 0.8409090909090909
001.mid, 0.8868613138686131, 0.9169811320754717, 0.901669758812616
082.mid, 0.11735537190082644, 0.14519427402862986, 0.12979890310786107
083.mid, 0.75748031496063, 0.843859649122807, 0.7983402489626555
084.mid, 0.8234660925726588, 0.8078141499472017, 0.8155650319829425
085.mid, 0.8187221396731055, 0.8542635658914729, 0.8361153262518968
086.mid, 0.7828571428571428, 0.9351535836177475, 0.8522550544323484
087.mid, 0.15512048192771086, 0.17975567190226877, 0.1665319320937753
088.mid, 0.7271750805585392, 0.7581187010078387, 0.7423245614035088
089.mid, 0.8307952622673435, 0.9177570093457944, 0.872113676731794
090.mid, 0.8608058608058609, 0.9090909090909091, 0.8842897460018815
091.mid, 0.7192737430167597, 0.8597662771285476, 0.7832699619771863
092.mid, 0.01567398119122257, 0.017985611510791366, 0.01675041876046901
093.mid, 0.8286219081272085, 0.9196078431372549, 0.8717472118959108
094.mid, 0.7117750439367311, 0.8067729083665338, 0.7563025210084032
095.mid, 0.8120229007633588, 0.7571174377224199, 0.7836095764272559
096.mid, 0.8539130434782609, 0.9299242424242424, 0.8902991840435177
098.mid, 0.877319587628866, 0.8976793248945147, 0.8873826903023984
099.mid, 0.8550592525068368, 0.8242530755711776, 0.8393736017897091
100.mid, 0.7806324110671937, 0.933806146572104, 0.8503767491926804
101.mid, 0.1237785016286645, 0.12751677852348994, 0.1256198347107438
102.mid, 0.7996742671009772, 0.8629173989455184, 0.8300929839391379
105.mid, 0.8238532110091743, 0.903420523138833, 0.8618042226487524
106.mid, 0.7655860349127181, 0.8527777777777777, 0.806833114323259
002.mid, 0.7697297297297298, 0.8466111771700356, 0.8063420158550397
003.mid, 0.7817109144542773, 0.7085561497326203, 0.7433380084151472
004.mid, 0.8635968722849696, 0.8835555555555555, 0.8734622144112478
005.mid, 0.8944174757281553, 0.8987804878048781, 0.8965936739659366
006.mid, 0.7851239669421488, 0.8742331288343558, 0.8272859216255444
007.mid, 0.7965474722564735, 0.9124293785310734, 0.8505595786701778
008.mid, 0.7823529411764706, 0.7409470752089137, 0.7610872675250357
009.mid, 0.8181818181818182, 0.8678571428571429, 0.8422876949740035
010.mid, 0.7067137809187279, 0.8948545861297539, 0.7897334649555776
011.mid, 0.8961748633879781, 0.9187675070028011, 0.9073305670816044
012.mid, 0.7392996108949417, 0.8878504672897196, 0.8067940552016986
013.mid, 0.40865384615384615, 0.4456094364351245, 0.4263322884012539
014.mid, 0.8130081300813008, 0.8290155440414507, 0.8209338122113905
015.mid, 0.7318435754189944, 0.7245575221238938, 0.7281823235130628
016.mid, 0.8784440842787682, 0.8727858293075684, 0.8756058158319869
018.mid, 0.7951105937136205, 0.8400984009840098, 0.8169856459330144
017.mid, 0.8346972176759411, 0.9532710280373832, 0.8900523560209425
020.mid, 0.841081081081081, 0.8512035010940919, 0.8461120174007614
021.mid, 0.8090185676392573, 0.7911802853437094, 0.7999999999999999
024.mid, 0.844903988183161, 0.7536231884057971, 0.7966573816155988
025.mid, 0.7872860635696821, 0.8621151271753681, 0.8230031948881789
027.mid, 0.8265193370165745, 0.8947368421052632, 0.8592762780011488
030.mid, 0.7832817337461301, 0.9353049907578558, 0.8525695029486099
031.mid, 0.907942238267148, 0.9691714836223507, 0.9375582479030754
032.mid, 0.7714884696016772, 0.8997555012224939, 0.8306997742663657
033.mid, 0.7390572390572391, 0.8977505112474438, 0.8107109879963066
034.mid, 0.2787418655097614, 0.26251276813074564, 0.2703840084166228
036.mid, 0.8280254777070064, 0.9043478260869565, 0.8645054031587698
037.mid, 0.17452006980802792, 0.18382352941176472, 0.1790510295434199
038.mid, 0.7649456521739131, 0.6976456009913259, 0.7297472456254052
040.mid, 0.8080279232111692, 0.8852772466539197, 0.844890510948905
039.mid, 0.7757352941176471, 0.8594704684317719, 0.8154589371980677
041.mid, 0.7575757575757576, 0.8928571428571429, 0.819672131147541
043.mid, 0.011299435028248588, 0.011029411764705883, 0.011162790697674419
042.mid, 0.8184397163120567, 0.889060092449923, 0.8522895125553914
044.mid, 0.8541315345699831, 0.8672945205479452, 0.860662701784197
045.mid, 0.8131609870740305, 0.781038374717833, 0.796776050662061
046.mid, 0.8340365682137834, 0.9081163859111792, 0.8695014662756598
047.mid, 0.8015122873345936, 0.7043189368770764, 0.7497789566755085
049.mid, 0.11988304093567251, 0.12166172106824925, 0.12076583210603828
048.mid, 0.056666666666666664, 0.05970149253731343, 0.058144506199230436
050.mid, 0.859251968503937, 0.8890020366598778, 0.8738738738738737
051.mid, 0.2230610844200412, 0.17567567567567569, 0.19655276685817963
052.mid, 0.8372703412073491, 0.8495339547270306, 0.8433575677461997
053.mid, 0.10633484162895927, 0.11779448621553884, 0.11177170035671818
054.mid, 0.8188073394495413, 0.8814814814814815, 0.8489892984542213
055.mid, 0.0365296803652968, 0.03986710963455149, 0.03812549642573471
056.mid, 0.7409024745269287, 0.7163969035890219, 0.7284436493738821
057.mid, 0.8461538461538461, 0.9304511278195489, 0.8863025962399282
058.mid, 0.8226950354609929, 0.8940269749518305, 0.8568790397045245
059.mid, 0.8031704095112285, 0.7906371911573472, 0.7968545216251638
060.mid, 0.8743016759776536, 0.9072463768115943, 0.8904694167852062
