File, Precision, Recall, F1 Score
081.mid, 0.23666210670314639, 0.6167557932263814, 0.3420662382600099
082.mid, 0.2269647696476965, 0.6850715746421268, 0.34096692111959287
083.mid, 0.23020774845592365, 0.7192982456140351, 0.3487877498936623
084.mid, 0.2757417102966841, 0.6673706441393875, 0.39024390243902435
085.mid, 0.24873949579831933, 0.6883720930232559, 0.3654320987654321
086.mid, 0.21589627959413754, 0.6535836177474402, 0.3245762711864406
087.mid, 0.12258420762009939, 0.387434554973822, 0.18624161073825501
088.mid, 0.22734196496572734, 0.6685330347144457, 0.3393009377664109
089.mid, 0.23800623052959502, 0.7140186915887851, 0.35700934579439253
090.mid, 0.29857464366091524, 0.769825918762089, 0.43027027027027026
091.mid, 0.2398989898989899, 0.7929883138564274, 0.36835982939123685
092.mid, 0.16283292978208233, 0.48381294964028776, 0.24365942028985507
093.mid, 0.2061711079943899, 0.5764705882352941, 0.3037190082644628
094.mid, 0.22649319929036074, 0.7629482071713147, 0.3492932056543548
095.mid, 0.24717874044412086, 0.6040925266903915, 0.35081374321880654
096.mid, 0.2941585535465925, 0.8011363636363636, 0.4303153611393692
098.mid, 0.31756214915797915, 0.8354430379746836, 0.46019755955839625
099.mid, 0.3185397279885469, 0.7820738137082601, 0.45269582909460837
100.mid, 0.21315192743764172, 0.6666666666666666, 0.32302405498281783
101.mid, 0.19750334373606776, 0.4955257270693512, 0.28243544788014024
102.mid, 0.19887780548628428, 0.5606326889279437, 0.29360331339162443
105.mid, 0.24263839811542992, 0.8289738430583501, 0.3753986332574032
106.mid, 0.22126929674099485, 0.7166666666666667, 0.3381389252948886
001.mid, 0.2814865794907089, 0.7716981132075472, 0.4125063035804337
002.mid, 0.25646045418950664, 0.7788347205707491, 0.3858615611192931
003.mid, 0.37741393786733834, 0.8012477718360071, 0.5131278538812786
004.mid, 0.3542695836273818, 0.8924444444444445, 0.5071987875726194
005.mid, 0.3020428015564202, 0.7573170731707317, 0.4318497913769124
006.mid, 0.21612090680100757, 0.6579754601226994, 0.3253697383390216
007.mid, 0.22495183044315992, 0.6596045197740112, 0.3354885057471264
008.mid, 0.29448550312677657, 0.7214484679665738, 0.4182478805006056
009.mid, 0.203125, 0.5571428571428572, 0.29770992366412213
010.mid, 0.19985925404644617, 0.6353467561521253, 0.30406852248394006
011.mid, 0.2944078947368421, 0.7521008403361344, 0.4231678486997636
012.mid, 0.2478764478764479, 0.75, 0.3726059199071387
013.mid, 0.24281984334203655, 0.7313237221494102, 0.36458673636066646
014.mid, 0.2971522905489063, 0.7461139896373057, 0.42502951593860683
015.mid, 0.35038240917782026, 0.8108407079646017, 0.48931909212283037
016.mid, 0.26888519134775374, 0.6505636070853462, 0.3805038850953615
017.mid, 0.24447031431897556, 0.7850467289719626, 0.37283621837549935
018.mid, 0.26651053864168617, 0.6998769987699877, 0.38602442333785614
020.mid, 0.25, 0.6564551422319475, 0.3621001810500905
021.mid, 0.2942843646669816, 0.808041504539559, 0.4314404432132965
024.mid, 0.33767772511848343, 0.7509881422924901, 0.4658765835717205
025.mid, 0.24241008874357778, 0.6947791164658634, 0.35941828254847646
027.mid, 0.27473460721868365, 0.7739234449760766, 0.40551551237856476
030.mid, 0.21921749136939012, 0.7042513863216266, 0.3343571741992102
031.mid, 0.35714285714285715, 0.9344894026974951, 0.5167820990942994
032.mid, 0.21388216303470542, 0.6479217603911981, 0.32160194174757284
033.mid, 0.28914057295136575, 0.8875255623721882, 0.4361809045226131
034.mid, 0.2861672611969877, 0.7374872318692544, 0.41233580810965165
036.mid, 0.21861604409063073, 0.6208695652173913, 0.3233695652173913
037.mid, 0.23363197794624396, 0.6231617647058824, 0.33984962406015035
038.mid, 0.2898395721925134, 0.6716232961586122, 0.4049308927904371
039.mid, 0.2300498753117207, 0.7515274949083504, 0.3522673031026253
040.mid, 0.21693491952414276, 0.5927342256214149, 0.31762295081967207
041.mid, 0.21186943620178042, 0.6710526315789473, 0.32205683355886333
042.mid, 0.2389041095890411, 0.6718027734976888, 0.3524656426839127
043.mid, 0.20096463022508038, 0.45955882352941174, 0.27964205816554805
044.mid, 0.4243663123466885, 0.8886986301369864, 0.5744327614831212
045.mid, 0.31327514928801103, 0.7697516930022573, 0.445315050603983
046.mid, 0.25808314087759815, 0.6845329249617151, 0.3748427672955975
047.mid, 0.30799428979300497, 0.7167774086378738, 0.43085371942086864
048.mid, 0.20522875816993463, 0.5513608428446005, 0.2991188378185282
049.mid, 0.1082529474812433, 0.2997032640949555, 0.1590551181102362
050.mid, 0.24312647289866457, 0.630346232179226, 0.35090702947845803
051.mid, 0.13478392263523722, 0.2410810810810811, 0.17290172514053112
052.mid, 0.19427083333333334, 0.4966711051930759, 0.2792961437663796
053.mid, 0.20666666666666667, 0.6215538847117794, 0.3101938711694809
054.mid, 0.23627906976744187, 0.6271604938271605, 0.3432432432432433
055.mid, 0.24528301886792453, 0.6910299003322259, 0.36205395996518713
056.mid, 0.3166619034009717, 0.7797325826882477, 0.4504065040650407
057.mid, 0.2454237288135593, 0.6804511278195489, 0.36073741903338313
058.mid, 0.26545884206380466, 0.649325626204239, 0.37685211070729663
059.mid, 0.28013500482160075, 0.7555266579973993, 0.40872317973971156
060.mid, 0.2184782608695652, 0.5826086956521739, 0.31778656126482213
061.mid, 0.23634131368938, 0.6536502546689303, 0.3471596032461677
062.mid, 0.24253285543608125, 0.6383647798742138, 0.3515151515151515
063.mid, 0.2721827031074504, 0.7842502696871629, 0.40411339633129517
064.mid, 0.15828334102445776, 0.6496212121212122, 0.2545454545454545
065.mid, 0.2916846186988367, 0.7927400468384075, 0.42645669291338584
066.mid, 0.3096590909090909, 0.6957446808510638, 0.42857142857142855
067.mid, 0.24892395982783358, 0.649812734082397, 0.3599585062240664
068.mid, 0.24593602517042476, 0.67, 0.3598005370157269
069.mid, 0.33666559174459854, 0.8074245939675174, 0.47519344560764687
070.mid, 0.18337264150943397, 0.6492693110647182, 0.28597701149425286
072.mid, 0.2733333333333333, 0.6792168674698795, 0.3898012100259291
073.mid, 0.21912144702842376, 0.5872576177285319, 0.31915694392171623
074.mid, 0.2482806052269601, 0.76, 0.3742871954380508
075.mid, 0.25783289817232374, 0.7884231536926147, 0.38858829316281357
080.mid, 0.19480519480519481, 0.8148148148148148, 0.31443544545021435
078.mid, 0.18927125506072875, 0.5342857142857143, 0.27952167414050827
079.mid, 0.26452064380685797, 0.7311411992263056, 0.3884892086330935
077.mid, 0.2297872340425532, 0.6242774566473989, 0.3359253499222395
