File, Precision, Recall, F1 Score
001.mid, 0.6619718309859155, 0.9754716981132076, 0.7887109077040427
002.mid, 0.6258064516129033, 0.9227110582639715, 0.7457952907256126
004.mid, 0.8079268292682927, 0.9422222222222222, 0.8699220352892901
003.mid, 0.7623211446740858, 0.8547237076648841, 0.8058823529411765
005.mid, 0.8054989816700611, 0.9646341463414634, 0.8779134295227525
006.mid, 0.6762820512820513, 0.9708588957055214, 0.7972292191435769
007.mid, 0.598438855160451, 0.9745762711864406, 0.7415368081676518
008.mid, 0.7086021505376344, 0.9178272980501393, 0.7997572815533981
009.mid, 0.6588669950738916, 0.9553571428571429, 0.7798833819241981
011.mid, 0.7439153439153439, 0.9845938375350141, 0.8474984930681133
010.mid, 0.5870503597122302, 0.912751677852349, 0.7145359019264447
012.mid, 0.5952380952380952, 0.9345794392523364, 0.7272727272727273
013.mid, 0.4822064056939502, 0.7103538663171691, 0.5744568097509275
014.mid, 0.6789473684210526, 0.9357512953367876, 0.7869281045751634
015.mid, 0.6896, 0.9535398230088495, 0.8003714020427112
016.mid, 0.7632258064516129, 0.9524959742351047, 0.8474212034383954
018.mid, 0.6444444444444445, 0.9630996309963099, 0.7721893491124261
017.mid, 0.6118881118881119, 0.9813084112149533, 0.7537688442211056
019.mid, 0.5455298013245033, 0.7480136208853575, 0.6309238870272857
021.mid, 0.7537473233404711, 0.9130998702983139, 0.8258064516129032
020.mid, 0.640117994100295, 0.949671772428884, 0.7647577092511014
022.mid, 0.5772298767222626, 0.9128440366972477, 0.7072412261217237
023.mid, 0.6409372846312887, 0.9637305699481865, 0.7698675496688742
024.mid, 0.8010625737898465, 0.8939393939393939, 0.8449564134495641
025.mid, 0.6448942042318307, 0.9384203480589023, 0.7644492911668485
026.mid, 0.4726090993500464, 0.7953125, 0.5928945835760047
027.mid, 0.6559485530546624, 0.9760765550239234, 0.7846153846153846
028.mid, 0.7946428571428571, 0.9877913429522752, 0.8807521029193468
029.mid, 0.6244239631336406, 0.9475524475524476, 0.7527777777777779
030.mid, 0.6132075471698113, 0.9611829944547134, 0.7487401007919366
031.mid, 0.6736566186107471, 0.9903660886319846, 0.8018720748829954
032.mid, 0.5296495956873315, 0.960880195599022, 0.6828844483058211
033.mid, 0.60450563204005, 0.9877300613496932, 0.75
034.mid, 0.49369747899159666, 0.7201225740551583, 0.5857914416285832
036.mid, 0.6559139784946236, 0.9547826086956521, 0.7776203966005665
035.mid, 0.6133333333333333, 0.837967401725791, 0.7082658022690438
037.mid, 0.49658002735978113, 0.6672794117647058, 0.5694117647058824
038.mid, 0.6453703703703704, 0.8636926889714994, 0.7387387387387387
039.mid, 0.60625814863103, 0.9470468431771895, 0.739268680445151
040.mid, 0.6712328767123288, 0.9369024856596558, 0.7821229050279329
041.mid, 0.550321199143469, 0.9661654135338346, 0.7012278308321965
042.mid, 0.609073359073359, 0.9722650231124808, 0.7489614243323442
043.mid, 0.14690026954177898, 0.20036764705882354, 0.16951788491446346
044.mid, 0.6577992744860943, 0.9315068493150684, 0.7710843373493976
045.mid, 0.7176991150442478, 0.9153498871331829, 0.804563492063492
046.mid, 0.6663135593220338, 0.9632465543644717, 0.7877269881026925
047.mid, 0.7606344628695025, 0.8762458471760798, 0.814357390968738
049.mid, 0.28433734939759037, 0.35014836795252224, 0.31382978723404253
048.mid, 0.2929532858273951, 0.32484635645302895, 0.3080766028309742
050.mid, 0.7368012422360248, 0.9663951120162932, 0.8361233480176211
051.mid, 0.49783549783549785, 0.4972972972972973, 0.4975662520281234
052.mid, 0.759698275862069, 0.9387483355525965, 0.8397855866587254
053.mid, 0.18114602587800369, 0.24561403508771928, 0.20851063829787234
054.mid, 0.5809806835066865, 0.9654320987654321, 0.725417439703154
055.mid, 0.28173374613003094, 0.45348837209302323, 0.3475493316359006
056.mid, 0.6818663838812301, 0.9049964813511612, 0.7777441790142123
057.mid, 0.6532156368221942, 0.9736842105263158, 0.7818867924528302
058.mid, 0.6756939742721734, 0.9614643545279383, 0.7936381709741551
059.mid, 0.714, 0.9284785435630689, 0.8072357263990956
060.mid, 0.6653620352250489, 0.9855072463768116, 0.7943925233644858
061.mid, 0.6262403528114664, 0.9643463497453311, 0.7593582887700534
062.mid, 0.7524834437086093, 0.9528301886792453, 0.8408880666049954
063.mid, 0.7134920634920635, 0.9697950377562028, 0.8221307727480568
064.mid, 0.54, 0.9715909090909091, 0.6941813261163734
065.mid, 0.7182425978987583, 0.8805620608899297, 0.7911625460284061
067.mid, 0.6992084432717678, 0.9925093632958801, 0.8204334365325077
066.mid, 0.7026143790849673, 0.9148936170212766, 0.7948243992606284
068.mid, 0.6454720616570327, 0.9571428571428572, 0.7710011507479863
069.mid, 0.6835227272727272, 0.9303944315545244, 0.7880773010153946
070.mid, 0.5865992414664981, 0.9686847599164927, 0.7307086614173227
071.mid, 0.5736636245110821, 0.9565217391304348, 0.7171964140179299
072.mid, 0.6525871172122492, 0.9307228915662651, 0.7672253258845437
073.mid, 0.6755424063116371, 0.9487534626038782, 0.7891705069124425
075.mid, 0.6004901960784313, 0.9780439121756487, 0.7441154138192863
074.mid, 0.6269284712482468, 0.9410526315789474, 0.7525252525252525
076.mid, 0.5786993402450519, 0.9761526232114467, 0.7266272189349113
077.mid, 0.629080118694362, 0.9190751445086706, 0.746917204932472
078.mid, 0.6340996168582376, 0.9457142857142857, 0.7591743119266054
079.mid, 0.17037037037037037, 0.26692456479690524, 0.20798794272795781
080.mid, 0.454337899543379, 0.9827160493827161, 0.6213895394223263
081.mid, 0.6922094508301405, 0.966131907308378, 0.8065476190476191
082.mid, 0.23085106382978723, 0.4437627811860941, 0.30370888733379986
083.mid, 0.6089449541284404, 0.9315789473684211, 0.7364771151178918
084.mid, 0.6359649122807017, 0.9186906019007391, 0.7516198704103673
085.mid, 0.6630669546436285, 0.951937984496124, 0.7816677275620624
086.mid, 0.6124197002141327, 0.9761092150170648, 0.7526315789473684
087.mid, 0.4032608695652174, 0.6474694589877836, 0.4969859343603484
088.mid, 0.7137809187279152, 0.9048152295632699, 0.7980246913580247
089.mid, 0.6508728179551122, 0.9757009345794393, 0.7808526551982049
091.mid, 0.5567729083665338, 0.9332220367278798, 0.6974422956955708
090.mid, 0.6563528637261357, 0.9642166344294004, 0.7810419114766941
092.mid, 0.20063694267515925, 0.33992805755395683, 0.25233644859813087
093.mid, 0.6308470290771175, 0.9784313725490196, 0.7671022290545735
094.mid, 0.5989911727616646, 0.9462151394422311, 0.7335907335907337
096.mid, 0.8170144462279294, 0.9640151515151515, 0.8844483058210251
095.mid, 0.772191673212883, 0.8745551601423488, 0.820191906549854
097.mid, 0.5787037037037037, 0.9410288582183187, 0.7166746297181079
098.mid, 0.6746806912096168, 0.9472573839662447, 0.7880649407634928
099.mid, 0.687007874015748, 0.9200351493848857, 0.7866265965439518
100.mid, 0.6053412462908012, 0.9645390070921985, 0.7438468550592525
101.mid, 0.3743016759776536, 0.5246085011185683, 0.4368886818816954
102.mid, 0.7148541114058355, 0.9472759226713533, 0.8148148148148148
103.mid, 0.6107732406602954, 0.851089588377724, 0.7111785533636823
104.mid, 0.7617514488087572, 0.9817427385892116, 0.8578680203045685
105.mid, 0.5770142180094787, 0.9798792756539235, 0.7263236390753169
106.mid, 0.5448818897637795, 0.9611111111111111, 0.6954773869346734
